item_id,source_dataset,source_audio,mat_path,target_label_ids,pred_label_ids,score,threshold
ICLISTENHF6016_20250120T160000.000Z.flac_2.3s_6.9s_trainstyle,final2025_part2_multispecies_tiny_trainstyle,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250120T160000.000Z.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/mat_files/ICLISTENHF6016_20250120T160000.000Z.flac_2.3s_6.9s_trainstyle.mat,species:Oo,species:Bp|species:Mn,0.083530,0.470000
ICLISTENHF6016_20250120T230000.000Z.flac_195.7s_213.2s_trainstyle,final2025_part2_multispecies_tiny_trainstyle,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250120T230000.000Z.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/mat_files/ICLISTENHF6016_20250120T230000.000Z.flac_195.7s_213.2s_trainstyle.mat,species:Oo,species:Mn,0.134930,0.470000
ICLISTENHF6016_20250715T230000.000Z.flac_191.4s_192.0s_trainstyle,final2025_part2_multispecies_tiny_trainstyle,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250715T230000.000Z.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/mat_files/ICLISTENHF6016_20250715T230000.000Z.flac_191.4s_192.0s_trainstyle.mat,species:Oo,,0.261434,0.470000
