run,source,subset,score,n,p50,p75,p90,p95,max
E06 ONC+BioDCASE+DCLDE,DCLDE,background_rows,species:Bm,29,0.030391,0.105020,0.217234,0.235454,0.302981
E06 ONC+BioDCASE+DCLDE,DCLDE,background_rows,species:Bp,29,0.053934,0.085774,0.123302,0.282382,0.600004
E06 ONC+BioDCASE+DCLDE,DCLDE,background_rows,species:Mn,29,0.035274,0.056266,0.191019,0.287813,0.309769
E06 ONC+BioDCASE+DCLDE,DCLDE,background_rows,species:Oo,29,0.841854,0.895671,0.951454,0.959378,0.966364
E06 ONC+BioDCASE+DCLDE,ONC,all_rows,max_primary,87,0.849104,0.928968,0.951377,0.969234,0.979885
E06 ONC+BioDCASE+DCLDE,ONC,all_rows,species:Bm,87,0.048764,0.293908,0.910878,0.969234,0.979885
E06 ONC+BioDCASE+DCLDE,ONC,all_rows,species:Bp,87,0.215439,0.585451,0.774675,0.814582,0.953433
E06 ONC+BioDCASE+DCLDE,ONC,all_rows,species:Mn,87,0.305091,0.916064,0.943021,0.946590,0.965351
E06 ONC+BioDCASE+DCLDE,ONC,all_rows,species:Oo,87,0.316753,0.716938,0.818103,0.843014,0.889873
E06 ONC+BioDCASE+DCLDE,ONC,background_rows,max_primary,29,0.776662,0.835062,0.889873,0.935571,0.943021
E06 ONC+BioDCASE+DCLDE,ONC,background_rows,species:Bm,29,0.015001,0.024861,0.293908,0.403509,0.445659
E06 ONC+BioDCASE+DCLDE,ONC,background_rows,species:Bp,29,0.039489,0.059716,0.489535,0.572828,0.619233
E06 ONC+BioDCASE+DCLDE,ONC,background_rows,species:Mn,29,0.089179,0.161483,0.887295,0.935571,0.943021
E06 ONC+BioDCASE+DCLDE,ONC,background_rows,species:Oo,29,0.716938,0.785091,0.843014,0.879141,0.889873
E08 ONC+DCLDE species-only,DCLDE,all_rows,max_primary,59,0.708547,0.883031,0.964855,0.983732,0.990975
E08 ONC+DCLDE species-only,DCLDE,all_rows,species:Bm,59,0.005853,0.013518,0.044944,0.073228,0.195911
E08 ONC+DCLDE species-only,DCLDE,all_rows,species:Bp,59,0.007573,0.022242,0.065474,0.344685,0.595241
E08 ONC+DCLDE species-only,DCLDE,all_rows,species:Mn,59,0.005348,0.013092,0.031258,0.249776,0.522637
E08 ONC+DCLDE species-only,DCLDE,all_rows,species:Oo,59,0.708547,0.883031,0.964855,0.983732,0.990975
E08 ONC+DCLDE species-only,DCLDE,background_rows,max_primary,29,0.554604,0.885038,0.983419,0.983732,0.985590
E08 ONC+DCLDE species-only,DCLDE,background_rows,species:Bm,29,0.010374,0.023317,0.073228,0.076398,0.195911
E08 ONC+DCLDE species-only,DCLDE,background_rows,species:Bp,29,0.012183,0.040378,0.344685,0.554604,0.595241
E08 ONC+DCLDE species-only,DCLDE,background_rows,species:Mn,29,0.007419,0.019642,0.249776,0.488232,0.522637
E08 ONC+DCLDE species-only,DCLDE,background_rows,species:Oo,29,0.486507,0.885038,0.983419,0.983732,0.985590
E08 ONC+DCLDE species-only,ONC,all_rows,max_primary,87,0.860987,0.946301,0.992317,0.998258,0.999371
E08 ONC+DCLDE species-only,ONC,all_rows,species:Bm,87,0.019707,0.171633,0.992317,0.998258,0.999371
E08 ONC+DCLDE species-only,ONC,all_rows,species:Bp,87,0.228847,0.865763,0.947490,0.963146,0.987406
E08 ONC+DCLDE species-only,ONC,all_rows,species:Mn,87,0.120651,0.667749,0.837443,0.856115,0.891225
E08 ONC+DCLDE species-only,ONC,all_rows,species:Oo,87,0.042132,0.416900,0.688464,0.853604,0.911617
E08 ONC+DCLDE species-only,ONC,background_rows,max_primary,29,0.544591,0.820873,0.877385,0.905240,0.925436
E08 ONC+DCLDE species-only,ONC,background_rows,species:Bm,29,0.009764,0.019856,0.118553,0.131726,0.194959
E08 ONC+DCLDE species-only,ONC,background_rows,species:Bp,29,0.058241,0.228847,0.809716,0.866450,0.925436
E08 ONC+DCLDE species-only,ONC,background_rows,species:Mn,29,0.018774,0.044916,0.663539,0.820873,0.877385
