item_id,source_dataset,source_audio,mat_path,target_label_ids,pred_label_ids,score,threshold
ICLISTENHF6016_20250710T140000.000Z.flac_260.3s_260.6s_trainstyle,final2025_part2_multispecies_tiny_trainstyle,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250710T140000.000Z.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/mat_files/ICLISTENHF6016_20250710T140000.000Z.flac_260.3s_260.6s_trainstyle.mat,species:Mn,species:Oo|call:blue_D|call:fin_40hz|call:orca_call,0.051310,0.770000
ICLISTENHF6016_20250120T000000.000Z.flac_2.1s_2.8s_trainstyle,final2025_part2_multispecies_tiny_trainstyle,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250120T000000.000Z.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/mat_files/ICLISTENHF6016_20250120T000000.000Z.flac_2.1s_2.8s_trainstyle.mat,species:Mn,species:Oo,0.244458,0.770000
ICLISTENHF6016_20250105T051000.000Z.flac_30.0s_31.4s_trainstyle,final2025_part2_multispecies_tiny_trainstyle,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250105T051000.000Z.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/mat_files/ICLISTENHF6016_20250105T051000.000Z.flac_30.0s_31.4s_trainstyle.mat,species:Mn,,0.305091,0.770000
