item_id,source_dataset,source_audio,mat_path,target_label_ids,pred_label_ids,score,threshold
ICLISTENHF6016_20251020T070000.000Z.flac_52.5s_55.9s_trainstyle,final2025_part2_multispecies_tiny_trainstyle,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20251020T070000.000Z.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/mat_files/ICLISTENHF6016_20251020T070000.000Z.flac_52.5s_55.9s_trainstyle.mat,species:OD,species:Bp|species:Mn|call:fin_20hz|call:humpback_song,0.875430,0.380000
ICLISTENHF6016_20251020T040000.000Z.flac_62.9s_63.4s_trainstyle,final2025_part2_multispecies_tiny_trainstyle,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20251020T040000.000Z.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/mat_files/ICLISTENHF6016_20251020T040000.000Z.flac_62.9s_63.4s_trainstyle.mat,species:Bp|call:fin_20hz,species:Bp|species:Mn|species:OD|call:fin_20hz|call:fin_other|call:humpback_song,0.868151,0.380000
ICLISTENHF6016_20250120T160000.000Z.flac_2.3s_6.9s_trainstyle,final2025_part2_multispecies_tiny_trainstyle,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250120T160000.000Z.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/mat_files/ICLISTENHF6016_20250120T160000.000Z.flac_2.3s_6.9s_trainstyle.mat,species:Oo,species:Mn|species:Oo|call:humpback_song,0.851506,0.380000
ICLISTENHF6016_20251130T080000.000Z.flac_74.3s_75.0s_trainstyle,final2025_part2_multispecies_tiny_trainstyle,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20251130T080000.000Z.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/mat_files/ICLISTENHF6016_20251130T080000.000Z.flac_74.3s_75.0s_trainstyle.mat,species:Bp|call:fin_20hz,species:Bp|species:Mn|species:OD|call:fin_20hz|call:fin_other|call:humpback_song,0.849549,0.380000
ICLISTENHF6016_20251215T020000.000Z.flac_162.9s_163.4s_trainstyle,final2025_part2_multispecies_tiny_trainstyle,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20251215T020000.000Z.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/mat_files/ICLISTENHF6016_20251215T020000.000Z.flac_162.9s_163.4s_trainstyle.mat,species:Bp|call:fin_20hz,species:Bp|species:Mn|species:OD|call:fin_20hz|call:humpback_song,0.838470,0.380000
ICLISTENHF6016_20251110T180000.000Z.flac_123.3s_123.8s_trainstyle,final2025_part2_multispecies_tiny_trainstyle,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20251110T180000.000Z.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/mat_files/ICLISTENHF6016_20251110T180000.000Z.flac_123.3s_123.8s_trainstyle.mat,species:Bp|call:fin_20hz,species:Mn|call:fin_20hz|call:humpback_song,0.833518,0.380000
ICLISTENHF6016_20251120T010000.000Z.flac_256.5s_276.2s_trainstyle,final2025_part2_multispecies_tiny_trainstyle,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20251120T010000.000Z.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/mat_files/ICLISTENHF6016_20251120T010000.000Z.flac_256.5s_276.2s_trainstyle.mat,species:Bm,species:Bp|species:Mn|call:fin_20hz|call:humpback_song,0.764547,0.380000
ICLISTENHF6016_20250105T063000.000Z.flac_8.4s_9.6s_trainstyle,final2025_part2_multispecies_tiny_trainstyle,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250105T063000.000Z.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/mat_files/ICLISTENHF6016_20250105T063000.000Z.flac_8.4s_9.6s_trainstyle.mat,species:OD,species:Bp|species:Mn|species:OD|call:fin_20hz|call:humpback_song,0.705668,0.380000
ICLISTENHF6016_20251030T050000.000Z.flac_5.0s_5.7s_trainstyle,final2025_part2_multispecies_tiny_trainstyle,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20251030T050000.000Z.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/mat_files/ICLISTENHF6016_20251030T050000.000Z.flac_5.0s_5.7s_trainstyle.mat,species:Bp|call:fin_20hz,species:Bp|species:Mn|call:fin_20hz|call:humpback_song,0.688866,0.380000
ICLISTENHF6016_20251205T110000.000Z.flac_276.4s_277.1s_trainstyle,final2025_part2_multispecies_tiny_trainstyle,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20251205T110000.000Z.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/mat_files/ICLISTENHF6016_20251205T110000.000Z.flac_276.4s_277.1s_trainstyle.mat,species:Bp|call:fin_20hz,species:Bp|species:Mn|species:OD|call:fin_20hz|call:humpback_song,0.679173,0.380000
ICLISTENHF6016_20251210T200000.000Z.flac_21.1s_47.6s_trainstyle,final2025_part2_multispecies_tiny_trainstyle,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20251210T200000.000Z.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/mat_files/ICLISTENHF6016_20251210T200000.000Z.flac_21.1s_47.6s_trainstyle.mat,species:Bm,species:Bm|species:Mn|call:humpback_song,0.630915,0.380000
ICLISTENHF6016_20250830T080000.000Z.flac_167.4s_167.8s_trainstyle,final2025_part2_multispecies_tiny_trainstyle,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250830T080000.000Z.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/mat_files/ICLISTENHF6016_20250830T080000.000Z.flac_167.4s_167.8s_trainstyle.mat,species:Bp|call:fin_other,species:Bp|species:Mn|species:OD|call:fin_20hz,0.623163,0.380000
ICLISTENHF6016_20250820T140000.000Z.flac_230.5s_230.9s_trainstyle,final2025_part2_multispecies_tiny_trainstyle,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250820T140000.000Z.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/mat_files/ICLISTENHF6016_20250820T140000.000Z.flac_230.5s_230.9s_trainstyle.mat,species:OD,species:Mn|species:OD|call:humpback_song,0.507218,0.380000
ICLISTENHF6016_20251125T010000.000Z.flac_77.5s_78.0s_trainstyle,final2025_part2_multispecies_tiny_trainstyle,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20251125T010000.000Z.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/mat_files/ICLISTENHF6016_20251125T010000.000Z.flac_77.5s_78.0s_trainstyle.mat,species:Bp|call:fin_20hz,species:Bp|call:fin_20hz|call:humpback_song,0.479190,0.380000
