run,job_id,onc_rows,onc_no_primary_rows,macro_f1,micro_f1,micro_precision,micro_recall,onc_no_primary_fp,onc_no_primary_n,onc_no_primary_fp_rate
E10_posw,13399266,241,148,0.43566624516649266,0.36674816625916873,0.23734177215189872,0.8064516129032258,114,148,0.7702702702702703
E10_noposw,13399267,241,148,0.4108543829417616,0.3609022556390977,0.2774566473988439,0.5161290322580645,93,148,0.6283783783783784
E11_posw,13399268,241,148,0.4355920959181828,0.3771428571428571,0.25680933852140075,0.7096774193548387,114,148,0.7702702702702703
E11_noposw,13399269,241,148,0.35491495486356744,0.35573122529644274,0.28125,0.4838709677419355,82,148,0.5540540540540541
